user_id,skill_name,type,activityId,correct,attempt_count,successRate,sequence,visited_At,completed_At,order_id,class
norway22150,Boolean Expressions,Coding,in_order,0,,,,2023-04-11 10:58:59.062,,6841,OBJ2000
norway22150,Boolean Expressions,Coding,in_order,1,,,,2023-04-11 10:58:59.062,,6842,OBJ2000
norway22150,Boolean Expressions,Coding,squirrel_play,0,,,,2023-04-11 11:10:17.477,,6843,OBJ2000
norway22150,Boolean Expressions,Coding,squirrel_play,0,,,,2023-04-11 11:10:17.477,,6844,OBJ2000
norway22150,Boolean Expressions,Coding,squirrel_play,0,,,,2023-04-11 11:10:17.477,,6845,OBJ2000
norway22150,Boolean Expressions,Coding,squirrel_play,0,,,,2023-04-11 11:10:17.477,,6846,OBJ2000
norway22150,Boolean Expressions,Coding,squirrel_play,1,,,,2023-04-11 11:10:17.477,,6847,OBJ2000
norway22150,Boolean Expressions,Coding,is_special,0,,,,2023-04-11 11:24:25.45,,6848,OBJ2000
norway22150,Boolean Expressions,Coding,is_special,0,,,,2023-04-11 11:24:25.45,,6849,OBJ2000
norway22150,Boolean Expressions,Coding,is_special,0,,,,2023-04-11 11:24:25.45,,6850,OBJ2000
norway22150,Boolean Expressions,Coding,is_special,0,,,,2023-04-11 11:24:25.45,,6851,OBJ2000
